Ticker,description
DPW,"Ault Global Holdings Inc., through its subsidiaries, designs, develops, manufactures, and sells power system solutions for the military/aerospace, medical, and industrial-telecommunication industries in North America, Europe, the Middle East, and internationally. It offers custom power system solutions; high-grade flexibility series power supply products, such as power rectifiers; and value-added services for original equipment manufacturers. The comany also provides power conversion and distribution equipment, direct current/active current inverters, and uninterrupted power supply (UPS) products; and radio frequency and microwave filters, diplexers, multiplexers, detectors, switch filters, integrated assemblies, and detector logarithmic video amplifiers, as well as provides commercial loans. In addition, it manufactures specialized electronic systems for the military market; and offers AC-DC power supplies, DC-DC converters, and displays and EMC filters, as well as distributes value added power supply solutions, UPS systems, fans, filters, line cords, and other power-related components. Further, the company also operates data centers, and provides digital marketing services. It sells its products directly through its sales force, as well as through independent manufacturer representatives and distributors. The company was formerly known as DPW Holdings, Inc. and changed its name to Ault Global Holdings Inc. in January 2021. Ault Global Holdings Inc. was incorporated in 1969 and is headquartered in Las Vegas, Nevada."
BAYN,"Bay National Corporation does not have significant operations. On July 9, 2010, Bay National Bank, the principal operating subsidiary of Bay National Corporation was closed by the Office of the Comptroller of Currency, which appointed the Federal Deposit Insurance Corporation as receiver of the bank. Previously, Bay National Bank offered commercial banking services to small and mid-sized businesses; and retail banking services to the owners of small and mid-sized businesses and their employees, business professionals, and high net worth individuals in the Baltimore Metropolitan area, Baltimore-Washington corridor, and Maryland's Eastern Shore. Bay National Corporation was incorporated in 1999 and is based in Lutherville, Maryland."
AAL,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2020, it operated a mainline fleet of 855 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas."
CS,"Credit Suisse Group AG, together with its subsidiaries, provides various financial services in Switzerland, Europe, the Middle East, Africa, the Americas, and Asia Pacific. The company offers private banking and wealth management solutions, including advisory, investment, financial planning, succession planning, and trust services; and financing and lending, and multi-shore platform solutions. It also provides traditional and structured lending, payment, foreign exchange, capital goods leasing, merger and acquisition, syndication, structured finance, commodity trade finance, trade finance, structured trade finance, export finance, factoring, fund management and administration, fund design, custody, ship and aviation finance, securities, cash, and treasury services. In addition, the company offers asset management products; equity and debt underwriting, and advisory services; cash equities, equity derivatives, and convertibles, as well as prime services; and fixed income products, such as credit, securitized, macro, emerging markets, financing, structured credit, and other products. Further, it provides HOLT, a framework for assessing the performance of approximately 20,000 companies; and equity and fixed income research services. The company serves private and institutional clients; ultra-high-net-worth individuals, high-net-worth individuals, and affluent and retail clients; corporate clients, small and medium-sized enterprises, external asset managers, financial institutions, and commodity traders; and pension funds, hedge funds, governments, foundations and endowments, corporations, entrepreneurs, private individuals, financial sponsors, and sovereign clients. As of December 31, 2020, it operated through a network of 338 offices and branches. The company was founded in 1856 and is based in Zurich, Switzerland."
EL,"The EstÃ©e Lauder Companies Inc. manufactures and markets skin care, makeup, fragrance, and hair care products. The company offers a range of skin care products, including moisturizers, serums, cleansers, toners, body care, exfoliators, acne care and oil correctors, facial masks, cleansing devices, and sun care products; and makeup products, such as lipsticks, lip glosses, mascaras, foundations, eyeshadows, nail polishes, and powders, as well as compacts, brushes, and other makeup tools. It also provides fragrance products in various forms comprising eau de parfum sprays and colognes, as well as lotions, powders, creams, candles, and soaps; and hair care products that include shampoos, conditioners, styling products, treatment, finishing sprays, and hair color products, as well as sells ancillary products and services. The company offers its products under EstÃ©e Lauder, Aramis, Clinique, Lab Series, Origins, MÂ·AÂ·C, Bobbi Brown, La Mer, Aveda, Jo Malone London, Bumble and bumble, Darphin, Smashbox, Le Labo, Editions de Parfums FrÃ©dÃ©ric Malle, GLAMGLOW, By Kilian, BECCA, Too Faced, RODIN olio lusso, FLIRT!, Kiton, and Tom Ford brands. It also holds license arrangements for Tommy Hilfiger, Donna Karan New York, DKNY, Michael Kors, Ermenegildo Zegna, Dr. Andrew Weil, TOM FORD BEAUTY, AERIN, and Tory Burch brands. The company sells its products through department stores, specialty-multi retailers, upscale perfumeries and pharmacies, and salons and spas; freestanding stores; its own and authorized retailer Websites; third-party online malls; stores in airports and on cruise ships; in-flight and duty-free shops; and self-select outlets. It has operations in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The EstÃ©e Lauder Companies Inc. has a joint development agreement with Atropos Therapeutics Inc. to discover senomodulators. The company was founded in 1946 and is headquartered in New York, New York."
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A., together with its subsidiaries, provides retail banking, wholesale banking, asset management, and private banking services. It offers current accounts; and demand, savings, overnight, time, term, and subordinated deposits. The company also provides loan products; deals in securities; and manages pension funds. In addition, it offers credit cards; corporate and investment banking services; insurance products and services; and real estate services. The company provides its products through online and mobile channels. As of December 31, 2020, it operated through a network of 7,432 branches and 31, 000 ATMs in approximately 30 countries. It operates in Spain, Mexico, South America, the United States, Turkey, the Asia-Pacific, and rest of Europe. Banco Bilbao Vizcaya Argentaria, S.A. was founded in 1857 and is headquartered in Bilbao, Spain."
DSM,"BNY Mellon Strategic Municipal Bond Fund, Inc. is a closed ended fixed income mutual fund launched and managed by BNY Mellon Investment Adviser, Inc. The fund invests in the fixed income markets of the United States. It primarily invests in investment grade municipal bonds which are exempt from federal income tax. The fund seeks to maintain a weighted average maturity of greater than 10 years. It was formerly known as Dreyfus Strategic Municipal Bond Fund, Inc. BNY Mellon Strategic Municipal Bond Fund, Inc. was formed on November 22, 1989 and is domiciled in the United States."
FERG,"Ferguson plc distributes plumbing and heating products in the United States, the United Kingdom, Canada, and Central Europe. It offers plumbing and heating solutions to customers in the residential, municipal, civil and industrial markets, and commercial sectors for repair, maintenance, and improvement (RMI), as well as new construction markets. The company also distributes pipes, valves, fittings, hydrants, meters, and related water management products, as well as offers related services, such as water line tapping and pipe fusion services. In addition, it distributes heating, ventilation, air conditioning, refrigeration equipment, and parts and supplies to specialist contractors in the residential and commercial markets for repair and replacement; and PVF products to industrial customers. Further, the company fabricates and supplies fire protection systems and bespoke fabrication services to commercial contractors for new construction and renovation projects, as well as offers products, services, and solutions to enable maintenance of facilities across various RMI markets. Additionally, it offers supply chain management solutions for PVF; and industrial maintenance, repair, and operations specializing in delivering automation, instrumentation, engineered products, and turn-key solutions. The company also sells its home improvement products directly to consumers, as well as through a network of online stores. In addition, it operates its B2B business primarily under the Ferguson brand; and B2C business under the Build.com brand. Further, the company provides products and services for maintenance of multi-family properties, government agencies, hospitality, education, healthcare, and other facilities. It operates a network of 2,194 branches and 19 distribution centers. Ferguson plc was founded in 1887 and is headquartered in Wokingham, the United Kingdom."
CAP,"Capitol Investment Corp. V does not have significant operations. It focuses on effecting a merger, stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses or entities. The company was incorporated in 2017 and is based in Arlington, Virginia."
SAND,"Sandstorm Gold Ltd. operates as a gold royalty company. It focuses on acquiring gold and other metal purchase agreements and royalties from companies that have advanced stage development projects or operating mines. The company offers upfront payments for companies to acquire a gold stream or royalty and receives the right to purchase a percentage of a mine's production for the life of the mine at a fixed price per unit or at a fixed percentage of the spot price. It has a portfolio of 201 streams and royalties. The company has operations in Canada, Mexico, the United States, Mongolia, Burkina Faso, Ecuador, South Africa, Ghana, Botswana, Cote D'Ivoire, Argentina, Brazil, Chile, Peru, Paraguay, Egypt, Ethiopia, Guyana, French Guiana, Turkey, Sweden, and Australia. The company was formerly known as Sandstorm Resources Ltd. and changed its name to Sandstorm Gold Ltd. in February 2011. Sandstorm Gold Ltd. was incorporated in 2007 and is headquartered in Vancouver, Canada."
RACE,"Ferrari N.V., through its subsidiaries, designs, engineers, produces, and sells luxury performance sports cars. The company offers sports, GT, and special series cars; limited edition hypercars; one-off and track cars; and Icona cars. It also provides racing cars; and spare parts and engines, as well as after sales, repair, maintenance, and restoration services for cars. In addition, the company licenses its Ferrari brand to various producers and retailers of luxury and lifestyle goods; Ferrari World, a theme park in Abu Dhabi, the United Arab Emirates; and Ferrari Land Portaventura, a theme park in Europe. Further, it provides direct or indirect finance and leasing services to retail clients and dealers; manages race tracks, as well as owns and manages two museums in Maranello and Modena, Italy; and develops and sells a line of apparel and accessories through its monobrand stores. As of December 31, 2020, it had a total of 36 retail Ferrari stores, including 18 franchised stores and 18 owned stores. The company also sells its products through a network of 168 authorized dealers operating 188 points of sale worldwide, as well as through its Website, store.ferrari.com. Ferrari N.V. was founded in 1947 and is headquartered in Maranello, Italy."
ORA,"Ormat Technologies, Inc. engages in the geothermal and recovered energy power business in the United States, Indonesia, Kenya, Turkey, Chile, Guadeloupe, Guatemala, Ethiopia, New Zealand, Honduras, and internationally. The company operates through three segments: Electricity, Product, and Energy Storage. The Electricity segment develops, builds, owns, and operates geothermal, solar photovoltaic, and recovered energy-based power plants; and sells electricity. The Product segment designs, manufactures, and sells equipment for geothermal, recovered energy-based electricity generation, and remote power units, such as fossil fuel powered turbo-generators and heavy duty direct-current generators. This segment also provides services relating to the engineering, procurement, construction, operation, and maintenance of geothermal and recovered energy-based power plants. The Product segment serves contractors; developers, owners, and operators of geothermal power plants; and owners and operators of interstate natural gas pipelines, gas processing plants, and cement plants, as well as companies in other energy-intensive industrial processes. The Energy Storage segment offers energy storage and related services, as well as services relating to the engineering, procurement, construction, operation, and maintenance of energy storage units. Ormat Technologies, Inc. was founded in 1965 and is based in Reno, Nevada."
STM,"STMicroelectronics N.V., together with its subsidiaries, designs, develops, manufactures, and markets semiconductor products in Europe, the Middle East, Africa, the Americas, and the Asia Pacific. It operates through Automotive and Discrete Group; Analog, MEMS and Sensors Group; and Microcontrollers and Digital ICs Group segments. The Automotive and Discrete Group segment offers automotive integrated circuits (ICs); and discrete and power transistor products. The Analog, MEMS and Sensors Group segment provides industrial application-specific integrated circuits (ASICs) and application-specific standard products (ASSPs); general purpose analog products; custom analog ICs; wireless charging solutions; galvanic isolated gate drivers; low and high voltage amplifiers, comparators, and current-sense amplifiers; MasterGaN, a solution that integrates a silicon driver and GaN power transistors in a single package; wireline and wireless connectivity ICs; touch screen controllers; micro-electro-mechanical systems (MEMS) products, including sensors or actuators; and optical sensing solutions. The Microcontrollers and Digital ICs Group segment offers general purpose and secure microcontrollers; radio frequency (RF) and electrically erasable programmable read-only memories; and RF, digital, and mixed-signal ASICs. It also provides assembly and other services. The company sells its products through distributors and retailers, as well as through sales representatives. STMicroelectronics N.V. was incorporated in 1987 and is headquartered in Geneva, Switzerland."
EQNR,"Equinor ASA, an energy company, engages in the exploration, production, transportation, refining, and marketing of petroleum and petroleum-derived products, and other forms of energy, as well as other businesses in Norway and internationally. The company operates in five segments: Exploration Norway; Exploration &amp; Production (E&amp;P) International; E&amp;P USA; Marketing, Midstream &amp; Processing; and Other. It also transports, processes, manufactures, markets, and trades in oil and gas commodities, such as crude and condensate products, gas liquids, natural gas, and liquefied natural gas; markets and trades in electricity and emission rights; and operates refineries, terminals and processing, and power plants; and develops low carbon solutions for oil and gas. In addition, the company develops wind, and carbon capture and storage projects, as well as offers other renewable energy. As of December 31, 2020, it had proved oil and gas reserves of 5,260 million barrels of oil equivalent. Equinor ASA has a strategic collaboration agreement with SINTEF. The company was formerly known as Statoil ASA and changed its name to Equinor ASA in May 2018. Equinor ASA was incorporated in 1972 and is headquartered in Stavanger, Norway."
MRK,"Merck &amp; Co., Inc. operates as a healthcare company worldwide. It operates through two segments, Pharmaceutical and Animal Health segments. The Pharmaceutical segment offers human health pharmaceutical products in the areas of oncology, hospital acute care, immunology, neuroscience, virology, cardiovascular, diabetes, and women's health, as well as vaccine products. The Animal Health segment provides discovers, develops, manufactures, and markets a range of veterinary pharmaceuticals, vaccines, and health management solutions and services, as well as a suite of digitally connected identification, traceability, and monitoring products. The company has collaborations with AstraZeneca PLC; Bayer AG; Eisai Co., Ltd.; and Ridgeback Biotherapeutics. It serves drug wholesalers and retailers, hospitals, and government agencies; managed health care providers, such as health maintenance organizations, pharmacy benefit managers, and other institutions; and physicians and physician distributors, veterinarians, and animal producers. The company has an agreement with Gilead Sciences, Inc. to co-develop and co-commercialize long-acting investigational treatment combinations of Lenacapavir and Islatravir in HIV; and a collaboration agreement with Amathus Therapeutics to develop treatments for neurodegenerative diseases. It also has a collaboration with Biomed X Gmbh for building on ongoing research projects in the fields of oncology (DNA damage response and RNA splicing) and autoimmunity (intestinal epithelial barrier in autoimmune diseases). Merck &amp; Co., Inc. was founded in 1891 and is headquartered in Kenilworth, New Jersey."
MT,"ArcelorMittal, together with its subsidiaries, owns and operates steel manufacturing and mining facilities in Europe, North and South America, Asia, and Africa. The company's principal steel products include semi-finished flat products, such as slabs; finished flat products comprising plates, hot- and cold-rolled coils and sheets, hot-dipped and electro-galvanized coils and sheets, tinplate, and color coated coils and sheets; semi-finished long products, such as blooms and billets; finished long products, including bars, wire-rods, structural sections, rails, sheet piles, and wire-products; and seamless and welded pipes and tubes. Its principal mining products comprise iron ore lumps, fines, concentrates, pellets, and sinter feeds; and coking and thermal coal, and pulverized coal injections. The company sells its products to various customers in the automotive, appliance, engineering, construction, energy, and machinery industries through a centralized marketing organization, as well as distributors. It has iron ore mining activities in Brazil, Bosnia, Canada, Kazakhstan, Liberia, Mexico, and Ukraine; and coal mining activities in Kazakhstan. The company was founded in 1976 and is headquartered in Luxembourg City, Luxembourg."
CNHI,"CNH Industrial N.V. designs, produces, markets, sells, and finances agricultural and construction equipment, trucks, commercial vehicles, buses, and specialty vehicles in North America, Europe, South America, and internationally. It operates through five segments: Agriculture, Construction, Commercial and Specialty Vehicles, Powertrain, and Financial. The Agriculture segment offers farm machinery and implements that include two-and four-wheel drive tractors, crawler tractors, combines, cotton pickers, grape and sugar cane harvesters, hay and forage equipment, planting and seeding equipment, soil preparation and cultivation implements, and material handling equipment under the New Holland Agriculture, Case IH, STEYR, Miller, Kongskilde, Ãverum, K-Line, and JF brands. The Construction segment offers excavators, crawler dozers, graders, wheel and backhoe loaders, and skid steer and compact track loaders under the CASE Construction and New Holland Construction brands. The Commercial and Specialty Vehicles segment provides light, medium, and heavy vehicles for the transportation and distribution of goods under the IVECO brand; commuter buses and city-buses under the IVECO BUS and Heuliez Bus brands; quarry and mining equipment under the IVECO ASTRA brand; firefighting vehicles under the Magirus brand; and vehicles for civil defense and peace-keeping missions under the Iveco Defence Vehicles brand. The Powertrain segment offers engines, transmission systems, and axles for on- and off-road applications, as well as for marine and power generation under the FPT Industrial brand. The Financial Services segment provides and administers retail financing to customers for the purchase or lease of new and used industrial equipment or vehicles, and other equipment; wholesale financing, which consists primarily of floor plan financing; and trade receivables factoring services. The company is based in London, the United Kingdom."
NWG,"NatWest Group plc, together with its subsidiaries, provides banking and financial products and services to personal, commercial, corporate, and institutional customers. It operates through Retail Banking, Ulster Bank RoI, Commercial Banking, Private Banking, RBS International, and NatWest Markets segments. The company's Retail Banking segment offers a range of banking products and related financial services, such as current accounts, mortgages, personal unsecured lending, and personal deposits, as well as mobile and online banking services in the United Kingdom. Its Ulster Bank RoI segment provides loan and deposit products through a network of branches and direct channels, including the internet, mobile, and telephony; and commercial banking services to business and corporate customers, including small and medium enterprises in the Republic of Ireland. The company's Commercial Banking segment offers banking and financing solutions to start-up, SME, commercial, and corporate customers in the United Kingdom. Its Private Banking segment provides private banking and wealth management products for high net worth individuals and their business interests in the United Kingdom. The company's RBS International segment offers banking services in the Channel Islands, Isle of Man, and Gibraltar. It also has wholesale branches and fund depositary service businesses in the United Kingdom and Luxembourg to serve its institutional clients. Its NatWest Markets segment helps corporates and institutional customers to manage their financial risks and achieve their short and long-term financial goals. The company was formerly known as The Royal Bank of Scotland Group plc and changed its name to NatWest Group plc in July 2020. NatWest Group plc was founded in 1727 and is headquartered in Edinburgh, the United Kingdom."
BNR,"Burning Rock Biotech Limited primarily develops and provides cancer therapy selection tests in the People's Republic of China. The company primarily offers 12 next-generation sequencing-based cancer therapy selection tests applicable to a range of cancer types, including lung cancer, gastrointestinal cancer, prostate cancer, breast cancer, lymphomas, thyroid cancer, colorectal cancer, ovarian cancer, pancreatic cancer, and bladder cancer using tissue and liquid biopsy samples. Its principal products include OncoScreen IO, a pan-cancer test for tissue samples; OncoCompass IO, the corresponding test for liquid biopsy samples; OncoCompass Target, a ctDNA liquid biopsy-based test for NSCLC; ColonCore for assessing microsatellite loci related to MSI status and detecting mutations in genes associated with gastrointestinal cancers; and OncoScreen ParpMatch and OncoCompass ParpMatch to target critical genes associated with homologous recombination deficiency. The company also offers LungCore for lung cancer, ProstrateCore for prostrate cancer, BreastCore for breast cancer, LymphPlasma for lymphomas, and ThyroCare for thyroid cancer. In addition, it has development and commercialization agreement with Myriad Genetics, Inc. to in-license Myriad myChoice tumor testing in China; and licensing agreement with Oncocyte Corporation to in-license DetermaRx, a risk stratification test for early stage lung cancer patients in China. Burning Rock Biotech Limited has collaborations on clinical trials and research studies with AstraZeneca, Bayer, Johnson &amp; Johnson, Sino Biopharm, CStone and BeiGene. The company was founded in 2014 and is headquartered in Guangzhou, China."
